what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20140324-1358,"org.eclipse.ltk.ui.refactoring",1452033590004
stopped,bundle,org.eclipse.mylyn.versions.ui,1.6.2.v20150217-2249,"org.eclipse.mylyn.versions.ui",1452033590004
stopped,bundle,org.eclipse.team.ui,3.7.100.v20130710-1213,"org.eclipse.team.ui",1452033590004
stopped,bundle,org.eclipse.mylyn.debug.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.debug.ui",1452033590005
stopped,bundle,org.eclipse.mylyn.ide.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.ide.ui",1452033590005
stopped,bundle,org.eclipse.mylyn.resources.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.resources.ui",1452033590006
stopped,bundle,org.eclipse.compare,3.5.501.v20140817-1445,"org.eclipse.compare",1452033590007
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20131113-0353,"org.eclipse.jdt.apt.pluggable.core",1452033590008
stopped,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20130605-1748,"org.eclipse.jdt.core.manipulation",1452033590008
stopped,bundle,org.eclipse.pde.launching,3.6.200.v20140521-1231,"org.eclipse.pde.launching",1452033590008
stopped,bundle,org.eclipse.jdt.junit.core,3.7.300.v20140409-1618,"org.eclipse.jdt.junit.core",1452033590009
stopped,bundle,org.eclipse.emf.exporter,2.7.0.v20150123-0452,"org.eclipse.emf.exporter",1452033590009
stopped,bundle,org.eclipse.emf.importer.ecore,2.8.0.v20150123-0452,"org.eclipse.emf.importer.ecore",1452033590010
stopped,bundle,org.eclipse.emf.importer.java,2.7.0.v20150123-0452,"org.eclipse.emf.importer.java",1452033590011
stopped,bundle,org.eclipse.emf.importer.rose,2.7.0.v20150123-0452,"org.eclipse.emf.importer.rose",1452033590012
stopped,bundle,org.eclipse.emf.importer,2.9.0.v20150123-0452,"org.eclipse.emf.importer",1452033590012
stopped,bundle,org.eclipse.emf.converter,2.7.0.v20150123-0452,"org.eclipse.emf.converter",1452033590012
stopped,bundle,org.eclipse.emf.codegen.ecore,2.10.2.v20150123-0452,"org.eclipse.emf.codegen.ecore",1452033590012
stopped,bundle,org.eclipse.emf.codegen.ui,2.6.0.v20150123-0452,"org.eclipse.emf.codegen.ui",1452033590012
stopped,bundle,org.eclipse.emf.codegen,2.10.0.v20150123-0452,"org.eclipse.emf.codegen",1452033590012
stopped,bundle,org.eclipse.jdt.apt.core,3.3.600.v20150122-0735,"org.eclipse.jdt.apt.core",1452033590024
stopped,bundle,org.eclipse.jst.j2ee.core,1.3.100.v201404161600,"org.eclipse.jst.j2ee.core",1452033590024
stopped,bundle,org.eclipse.jem,2.0.600.v201302011850,"org.eclipse.jem",1452033590037
stopped,bundle,org.eclipse.jem.proxy,2.0.410.v201411191736,"org.eclipse.jem.proxy",1452033590063
stopped,bundle,org.eclipse.jst.common.frameworks,1.1.601.v201302011850,"org.eclipse.jst.common.frameworks",1452033590073
stopped,bundle,org.eclipse.jst.server.tomcat.core,1.1.601.v201501040116,"org.eclipse.jst.server.tomcat.core",1452033590089
stopped,bundle,org.eclipse.jst.server.core,1.2.400.v20130918_1641,"org.eclipse.jst.server.core",1452033590100
stopped,bundle,org.eclipse.jst.common.project.facet.core,1.4.400.v201403261500,"org.eclipse.jst.common.project.facet.core",1452033590100
stopped,bundle,org.eclipse.pde.ds.core,1.0.300.v20140204-1740,"org.eclipse.pde.ds.core",1452033590107
stopped,bundle,org.eclipse.pde.ua.core,1.0.301.v20140702-1823,"org.eclipse.pde.ua.core",1452033590109
stopped,bundle,org.eclipse.pde.core,3.10.2.v20150127-1015,"org.eclipse.pde.core",1452033590109
stopped,bundle,org.eclipse.jdt.launching,3.7.102.v20141111-0953,"org.eclipse.jdt.launching",1452033590109
stopped,bundle,org.eclipse.jdt.debug,3.8.102.v20150115-1323,"org.eclipse.jdt.debug",1452033590147
stopped,bundle,org.eclipse.jdt.core,3.10.2.v20150120-1634,"org.eclipse.jdt.core",1452033590453
stopped,bundle,org.eclipse.mylyn.versions.core,1.6.2.v20150217-2249,"org.eclipse.mylyn.versions.core",1452033590453
stopped,bundle,org.eclipse.wst.jsdt.debug.crossfire,1.0.400.v201402131232,"org.eclipse.wst.jsdt.debug.crossfire",1452033590469
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.300.v201402131232,"org.eclipse.wst.jsdt.debug.rhino",1452033590480
